K,BIC,detBIC,Weight,OK
1,6012.03605992808,13.0838105212897,0.00143965669888164,1
2,6023.5126624234,24.5604130166093,4.63603146675121e-06,1
3,5998.95224940679,0,0.998555707269651,1
4,6071.77930221456,72.8270528077719,1.53171764161559e-16,1
5,6096.44083223837,97.4885828315828,6.76075988898919e-22,1
6,6186.30527038688,187.353020980086,2.07100290680211e-41,1
