X,Y,Z,LOO_max,LOO_Y,LOO_S1,LOO_S3
3948.15184134064,1367.92188289665,-3047.21380927385,0.000165885578011655,0,2.67613745116089e-07,0.000165885578011655
3800,1430.85904560361,-3051.06325662559,0.00151851986786666,0,9.58917483989277e-06,0.00151851986786666
3800.00008464395,1200.00003251152,-3049.01492806491,0.00118700385670387,0,1.7780115989461e-06,0.00118700385670387
3948.14413437685,1367.92418971975,-3033.76214499619,0.000135847440406124,1.12079294424248e-05,1.31913305130733e-07,0.000135847440406124
3800,1430.85464854595,-3037.67971879687,0.00136105903832012,9.80808627161058e-05,1.19276088585046e-05,0.00136105903832012
3800,1200,-3035.81225736164,0.00108277199244214,6.11502527980272e-06,4.94556272915982e-06,0.00108277199244214
4030.7400671386,1200,-3030.38501478892,0.000390382113763144,1.09939648022975e-06,1.20074570951086e-07,0.000390382113763144
4030.74221936778,1200,-3043.76308133494,0.000461984270999742,0,5.10254532198329e-08,0.000461984270999742
3948.13642741306,1367.92649654286,-3020.31048071854,0.000122634224891423,2.27887757318604e-05,2.55376369538989e-07,0.000122634224891423
3800,1430.85028320839,-3024.29618096816,0.00116370393077968,9.55207315520451e-05,2.38743780534702e-05,0.00116370393077968
3800,1200,-3022.60958665838,0.000964456633196944,5.00307728779757e-06,1.09208800252151e-05,0.000964456633196944
4030.73799304125,1200,-3017.00694824291,0.000309817275769991,8.0506789285372e-07,3.18450026450018e-07,0.000309817275769991
3966.59442287994,1546.78247812057,-3048.46843095204,0.00012674038679977,0,3.23433399781508e-07,0.00012674038679977
3800,1661.71927486589,-3053.16966832156,0.00158440782886526,0,5.50791951387501e-06,0.00158440782886526
3966.57660503276,1546.79145864962,-3034.86664330941,0.000116501909017103,2.26735944741882e-05,2.66802183785789e-07,0.000116501909017103
3800,1661.71059904741,-3039.65507101674,0.00141935609230924,3.13751794919448e-05,7.99911305886233e-06,0.00141935609230924
4150.06567330129,1410.36785976351,-3029.55501438603,0.000433505078368257,6.00619021329732e-08,2.7188274376672e-08,0.000433505078368257
4150.07143761105,1410.37216471539,-3043.21432076393,0.000471397926946114,0,7.77622726742675e-09,0.000471397926946114
4261.52612252471,1200,-3041.59933841153,0.000210924540617957,0,2.53034873197863e-09,0.000210924540617957
4261.52345673576,1200,-3027.99261180689,0.000172570104830233,3.75589545047281e-08,3.25863925679008e-09,0.000172570104830233
3948.12872044926,1367.92880336596,-3006.85881644088,0.000115096250002606,1.1672908538141e-05,2.53921325967414e-07,0.000115096250002606
3800,1430.84591787084,-3010.91264313945,0.00102376966727148,9.09300709815671e-05,5.48418179349066e-05,0.00102376966727148
3800,1200,-3009.40691595511,0.00085873241767138,4.38511118697906e-06,2.21583282568689e-05,0.00085873241767138
4030.73591894387,1200,-3003.6288816969,0.000248224194416803,5.30422361500648e-07,3.28487780074831e-07,0.000248224194416803
3966.55878718559,1546.80043917868,-3021.26485566678,0.000114265337347447,2.26212659236922e-05,3.57927296416238e-07,0.000114265337347447
3800,1661.70195415762,-3026.14047371193,0.00119257263973753,3.01456533272303e-05,1.5043343551425e-05,0.00119257263973753
4150.05990899152,1410.36355481163,-3015.89570800813,0.000373363141096535,4.13579372152567e-08,6.96751701617938e-08,0.000373363141096535
4261.5208625685,1200,-3014.38588520225,0.000114887322436069,2.96396813401182e-08,3.59365752982708e-09,0.000114887322436069
3991.56860901305,1770.52656432032,-3047.56514245416,0.00010258671962666,0,1.86153288867167e-07,0.00010258671962666
3800,1892.58522424372,-3051.62998492483,0.00151095877985273,0,3.86010194578015e-06,0.00151095877985273
3991.54455018164,1770.52479816329,-3034.16706690331,0.000111838603328629,7.79597089020705e-06,2.25002039537403e-07,0.000111838603328629
3800,1892.57028880806,-3038.57032595303,0.0013694751825023,7.55987987856005e-06,4.24063157500798e-06,0.0013694751825023
4167.45143787097,1650.19458032781,-3044.33575747736,0.000403653738467055,0,5.99965446189708e-09,0.000403653738467055
4167.42730957059,1650.17870324059,-3030.56036830516,0.000380639879885994,4.20152946247881e-08,3.87419744536515e-08,0.000380639879885994
4322.93441619925,1566.31906580909,-3042.97178126868,0.00024049804934465,0,1.14944996116869e-09,0.00024049804934465
4322.93589796689,1566.31034098423,-3029.03593867322,0.000229735596805982,1.92372580391634e-08,6.59170280742945e-09,0.000229735596805982
4402.34571325601,1380.71816487872,-3028.04849048601,5.50353624912162e-05,2.55027699519585e-08,2.42272751397914e-08,5.50353624912162e-05
4402.33751465361,1380.73787469766,-3041.93817789605,5.24115630834192e-05,0,3.03182518537413e-09,5.24115630834192e-05
4492.32549877736,1200,-3027.18245011932,8.85275366711815e-05,2.60821515926537e-06,7.46419624053249e-08,8.85275366711815e-05
4492.32770851327,1200,-3041.05849709163,8.66329003917578e-05,0,6.89255572836549e-08,8.66329003917578e-05
3800,2123.42496281566,-3036.96845043514,0.00110793422451377,2.77095928895152e-05,5.35195029656288e-06,0.00110793422451377
4005.13124986571,2007.91996551914,-3032.29421358147,0.000148519739582681,7.2516873423267e-06,2.0762133642136e-07,0.000148519739582681
3800,2123.44574161151,-3049.48741005888,0.00120277601338365,0,4.93490713973074e-06,0.00120277601338365
4005.1514187018,2007.91931203718,-3045.16599963136,0.000135281304816624,0,1.75772687122584e-07,0.000135281304816624
3948.12101348547,1367.93111018907,-2993.40715216323,0.0001093162987681,1.09571503208402e-05,4.75368418715151e-06,0.0001093162987681
3800,1430.84155253328,-2997.52910531073,0.000911191772002921,8.36229042693361e-05,0.000114311421019102,0.000911191772002921
3800,1200,-2996.20424525184,0.000757672409034794,1.21268458021712e-06,4.69239667340382e-05,0.000757672409034794
4030.73384484648,1200,-2990.25081515088,0.000196662043584145,3.06976219919492e-07,2.36260873434315e-07,0.000196662043584145
3966.54096933842,1546.80941970774,-3007.66306802416,0.000122647516269506,1.11218651053373e-05,2.02280945600718e-07,0.000122647516269506
3800,1661.69330926783,-3012.62587640711,0.00101849300149016,2.82533350166104e-05,3.28233082116584e-05,0.00101849300149016
4150.05414468176,1410.35924985975,-3002.23640163023,0.000324659303997004,3.06680881391614e-08,7.13198068091237e-08,0.000324659303997004
4261.51826840121,1200,-3000.77915859761,7.2408893832423e-05,2.19418911134161e-08,3.96488810356563e-09,7.2408893832423e-05
3991.52049135024,1770.52303200627,-3020.76899135246,0.000141721159874069,7.4849699476553e-06,3.56427198103751e-07,0.000141721159874069
3800,1892.55538350968,-3025.51066698124,0.00117609863713393,6.76774388146635e-06,1.13356583624618e-05,0.00117609863713393
3800,2123.40421336565,-3024.4494908114,0.000971640826270732,2.57679966295883e-05,1.36588893768265e-05,0.000971640826270732
4005.11108102963,2007.9206190011,-3019.42242753157,0.000151457631329097,6.86300997339003e-06,3.94959014624085e-07,0.000151457631329097
4402.35391185841,1380.69845505977,-3014.15880307597,5.02345191598427e-05,9.73285411072162e-09,3.72227259473241e-08,5.02345191598427e-05
4492.3233541531,1200,-3013.306403147,8.74807165960794e-05,2.6158984546283e-06,7.8966408620878e-08,8.74807165960794e-05
4185.40855827932,1878.92261053051,-3041.46001858336,0.000451221927281367,0,3.64466266046608e-09,0.000451221927281367
4185.39006784847,1878.91445648608,-3028.2398389622,0.000416874406500867,3.00038370616774e-08,8.057882618353e-09,0.000416874406500867
